ENGIE GREEN RDI;France;Energy;€87,300,000
EU FUNDS CO-FINANCING 2014-2020 (PT);Portugal;Transport;€10,000,000
EASY CHARGER SPAIN (FM);Spain;Transport;€40,000,000
IFRRU 2014-2020;Portugal;Urban development;€200,000,000
ICO MIDCAPS AND SUSTAINABLE LOAN;Spain;Energy;€25,000,000
ICO MIDCAPS AND SUSTAINABLE LOAN;Spain;Services;€43,750,000
ICOSAGEN (IEU LS);Estonia;Industry;€18,000,000
ICO MIDCAPS AND SUSTAINABLE LOAN;Spain;Transport;€6,250,000
S7 EXPRESSWAY PLONSK - CZOSNOW;Poland;Transport;€220,000,000
ICO MIDCAPS AND SUSTAINABLE LOAN;Spain;Industry;€50,000,000
ASJA WIND REPOWERING AND NEW PROJECTS;Italy;Energy;€50,000,000
EU FUNDS CO-FINANCING 2014-2020 (PT);Portugal;Solid waste;€4,000,000
EU FUNDS CO-FINANCING 2014-2020 (PT);Portugal;Credit lines;€46,000,000
FCA BANK LOAN FOR SMES AND CLIMATE ACTION;EU Countries;Credit lines;€60,000,000
FCA BANK LOAN FOR SMES AND CLIMATE ACTION;Italy;Credit lines;€90,000,000
ILLIMITY SUSTAINABLE LOAN FOR SMES;Italy;Credit lines;€100,000,000
OOSTERWEEL CONNECTION;Belgium;Transport;€400,000,000
PORTUGAL SOLID WASTE INVESTMENT PLAN II;Portugal;Solid waste;€100,000,000
EU FUNDS CO-FINANCING 2014-2020 (PT);Portugal;Water, sewerage;€16,000,000
PLK E65 SOUTHERN SECTION PHASE II;Poland;Transport;€600,000,000
BERENBERG LRS ENHANCED SUPPORT;Germany;Credit lines;€150,000,000
WARSAW TRAMWAY III;Poland;Transport;€204,551,816
RYBNIK SUSTAINABLE DEVELOPMENT;Poland;Transport;€4,478,608
TRUCKSTERS (IEU FT);Spain;Services;€15,000,000
MASPEX FOOD PRODUCTION RESOURCE EFFICIENCY;Poland;Industry;€47,282,712
BBVA ENHANCED SUPPORT TO SMES&MIDCAPS II;Spain;Credit lines;€120,713,750
AFFIBODY (IEU LS);Sweden;Industry;€20,000,000
RYBNIK SUSTAINABLE DEVELOPMENT;Poland;Urban development;€29,972,224
BRAINLAB SURGERY SOFTWARE DEVELOPMENT;Germany;Industry;€50,000,000
MASPEX FOOD PRODUCTION RESOURCE EFFICIENCY;Romania;Industry;€6,717,288
SMES TRADE FINANCE FACILITY 3;Greece;Credit lines;€50,000,000
KRAKOW TRAMWAY PPP;Poland;Transport;€6,459,030
REGIONE EMILIA-ROMAGNA EU BLENDING PROGRAMME;Italy;Energy;€3,750,000
ALD PAN-EUROPEAN CLEAN TRANSPORT FLEET;Portugal;Services;€15,000,000
SMES TRADE FINANCE FACILITY 3;Greece;Credit lines;€60,000,000
